










-,-,-
-2.21,-3.90,-11.87
-2.13,-4.33,-11.40
-2.09,-4.65,-10.98
-2.08,-4.84,-10.71
-2.09,-5.04,-10.31
-2.14,-5.11,-9.90
-2.21,-5.11,-9.73
-2.35,-5.00,-9.56
-2.53,-4.82,-9.49
-2.65,-4.65,-9.47
-2.84,-4.37,-9.53
-3.00,-4.06,-9.63
-3.07,-3.89,-9.71
-3.18,-3.68,-9.85
-3.22,-3.55,-10.00
-3.20,-3.58,-10.15
-3.15,-3.66,-10.20
-3.00,-3.85,-10.21
-2.73,-4.01,-10.26
-2.55,-4.10,-10.29
-2.24,-4.22,-10.29
-1.93,-4.39,-10.34
-1.73,-4.56,-10.36
-1.43,-4.83,-10.39
-1.13,-5.09,-10.39
-0.86,-5.39,-10.32
-0.71,-5.58,-10.23
-0.53,-5.88,-9.98
-0.37,-6.22,-9.66
-0.28,-6.46,-9.35
-0.21,-6.83,-8.79
-0.15,-7.14,-8.20
-0.10,-7.35,-7.81
-0.02,-7.64,-7.31
0.03,-7.92,-6.87
0.06,-8.08,-6.62
0.09,-8.26,-6.29
0.09,-8.35,-5.98
0.08,-8.34,-5.82
-0.01,-8.21,-5.58
-0.10,-7.93,-5.39
-0.16,-7.56,-5.29
-0.21,-7.23,-5.36
-0.27,-6.71,-5.52
-0.30,-6.23,-5.83
-0.30,-5.94,-6.12
-0.28,-5.56,-6.64
-0.17,-5.28,-7.18
-0.05,-5.16,-7.55
0.19,-5.06,-8.12
0.50,-5.07,-8.60
0.72,-5.15,-8.87
1.12,-5.30,-9.27
1.57,-5.54,-9.55
1.89,-5.72,-9.68
2.32,-5.99,-9.74
2.68,-6.26,-9.77
2.98,-6.49,-9.73
3.13,-6.62,-9.70
3.34,-6.78,-9.53
3.51,-6.88,-9.31
3.60,-6.95,-9.10
3.68,-7.09,-8.75
3.72,-7.19,-8.26
3.73,-7.21,-7.95
3.71,-7.14,-7.50
3.63,-7.02,-7.13
3.58,-6.90,-6.96
3.44,-6.66,-6.79
3.30,-6.47,-6.58
3.23,-6.30,-6.38
3.22,-6.24,-6.26
3.23,-6.15,-5.99
3.31,-5.97,-5.79
3.38,-5.83,-5.69
3.48,-5.61,-5.66
3.60,-5.38,-5.74
3.71,-5.21,-5.84
3.94,-4.91,-5.98
4.19,-4.63,-6.16
4.39,-4.41,-6.30
4.72,-4.02,-6.47
5.04,-3.63,-6.69
5.33,-3.30,-6.96
5.50,-3.17,-7.14
5.73,-3.03,-7.42
5.98,-2.91,-7.72
6.10,-2.89,-7.86
6.29,-2.96,-8.04
6.49,-3.14,-8.14
6.58,-3.32,-8.09
6.72,-3.63,-7.93
6.85,-3.89,-7.76
6.91,-4.02,-7.69
6.95,-4.15,-7.51
6.91,-4.29,-7.30
6.85,-4.48,-6.96
6.79,-4.61,-6.59
6.76,-4.78,-5.96
6.80,-4.90,-5.37
6.89,-5.01,-4.92
6.94,-4.94,-4.11
6.96,-4.56,-3.60
6.98,-4.17,-3.45
7.01,-3.51,-3.40
7.14,-2.81,-3.63
7.26,-2.35,-3.92
7.47,-1.68,-4.48
7.66,-1.06,-5.17
7.83,-0.57,-6.03
7.92,-0.28,-6.67
8.03,0.07,-7.76
8.16,0.27,-8.94
8.21,0.46,-9.72
8.25,0.80,-10.73
8.27,1.11,-11.55
8.28,1.31,-12.03
8.30,1.46,-12.55
8.28,1.56,-12.83
8.25,1.69,-12.99
8.28,1.84,-13.07
7.77,3.73,-11.30
6.80,5.10,-11.76
7.08,6.13,-14.37
8.29,5.77,-15.06
8.33,5.66,-13.65
7.88,6.71,-13.07
7.24,8.22,-11.85
7.07,8.60,-10.90
7.06,8.79,-10.40
7.11,8.75,-10.82
7.52,8.47,-11.80
7.83,8.51,-12.78
7.93,8.42,-13.55
8.18,7.79,-14.80
8.55,6.83,-15.64
8.77,6.01,-16.00
9.11,4.70,-16.28
9.47,3.42,-16.09
9.72,2.56,-15.90
10.10,1.41,-15.62
10.51,0.54,-15.16
10.76,0.02,-14.79
11.04,-0.69,-14.12
11.23,-1.41,-13.29
11.34,-1.94,-12.46
11.35,-2.12,-11.84
11.37,-2.25,-10.99
11.40,-2.45,-10.46
11.40,-2.63,-10.12
11.22,-2.46,-9.79
10.94,-2.30,-9.61
10.77,-2.33,-9.50
10.38,-2.34,-9.49
9.99,-2.38,-9.29
9.66,-2.79,-9.06
9.33,-2.98,-8.77
8.67,-2.67,-8.50
8.09,-2.28,-8.36
7.82,-2.15,-8.12
7.41,-2.04,-7.88
7.02,-2.18,-7.88
6.71,-2.14,-7.89
6.19,-1.75,-7.58
5.78,-1.08,-7.25
5.30,-0.81,-6.92
5.07,-0.68,-6.80
4.77,-0.40,-6.69
4.51,0.05,-6.76
4.32,0.21,-6.95
4.09,0.30,-7.12
3.77,0.26,-7.26
3.57,0.32,-7.45
3.46,0.56,-7.87
3.46,0.93,-8.15
3.46,1.28,-8.19
3.39,1.70,-8.40
3.27,2.13,-8.59
3.20,2.38,-8.77
3.20,2.76,-9.22
3.27,3.04,-9.86
3.30,3.20,-10.46
3.30,3.23,-10.77
3.33,3.09,-11.13
3.34,2.89,-11.24
3.42,2.77,-11.21
3.50,2.49,-11.15
3.55,2.08,-11.12
3.56,1.77,-11.16
3.59,1.37,-11.24
3.59,0.99,-11.39
3.55,0.69,-11.45
3.55,0.40,-11.45
3.52,0.23,-11.43
3.43,0.02,-11.41
3.42,0.06,-11.30
3.40,0.26,-11.13
3.30,0.35,-11.02
3.19,0.42,-10.92
3.03,0.64,-10.79
2.93,1.07,-10.57
2.83,1.26,-10.47
2.58,1.37,-10.33
2.35,1.66,-10.16
2.16,1.82,-10.18
1.77,1.86,-10.27
1.46,2.06,-10.31
1.20,2.28,-10.41
1.10,2.50,-10.42
0.89,2.73,-10.48
0.71,3.05,-10.49
0.62,3.28,-10.50
0.41,3.42,-10.60
0.28,3.51,-10.73
0.22,3.50,-10.86
0.19,3.45,-11.00
0.27,3.32,-11.21
0.34,3.09,-11.36
0.48,2.66,-11.53
0.62,2.24,-11.72
0.79,1.84,-11.92
0.88,1.49,-12.08
0.94,0.88,-12.34
0.99,0.32,-12.56
1.08,0.06,-12.62
1.21,-0.33,-12.71
1.27,-0.83,-12.82
1.24,-1.22,-12.90
1.16,-1.70,-12.99
1.11,-2.08,-13.10
1.10,-2.28,-13.15
1.12,-2.46,-13.12
1.11,-2.51,-12.99
1.04,-2.59,-12.91
0.98,-2.52,-12.68
0.97,-2.24,-12.39
0.96,-1.88,-12.13
0.83,-1.84,-12.06
